image segmentation,pytorch,unet,opencv,semantic,Computer Vision Engineer
sql,plsql,stored procedures,oracle,tuning,Database Administrator
hyperledger,fabric,blockchain,golang,chaincode,Blockchain Developer
spark streaming,kafka,scala,big data,flink,Big Data Engineer
owasp,sql injection,xss,web security,penetration testing,Cybersecurity Engineer
dbt,snowflake,data warehouse,sql,analytics,Data Analyst
huggingface,gpt,llm,fine-tuning,prompt engineering,NLP Engineer
react,storybook,jest,testing,javascript,Frontend Developer
fastapi,python,pydantic,sqlalchemy,postgresql,Backend Developer
yolo,faster rcnn,object detection,pytorch,detection,Computer Vision Engineer
python,automl,neural architecture,deep learning,hyperparameter,AI Researcher
room,workmanager,kotlin,android,viewmodel,Android Developer
coremotion,arkit,swift,ios,augmented reality,iOS Developer
elasticsearch,kibana,logstash,elk,devops,DevOps Engineer
aws,cdk,cloudformation,serverless,microservices,Cloud Architect
python,machine learning,classification,regression,clustering,Data Scientist
flutter,bloc,dart,firebase,android,Android Developer
react native,expo,typescript,redux,mobile,iOS Developer
nosql,hbase,dynamodb,couchdb,redis,Database Administrator
polygon,defi,yield farming,blockchain,solidity,Blockchain Developer
python,statistics,ab testing,experiment,analytics,Product Analyst
java,spring,maven,junit,microservices,Java Developer
game development,unity,c sharp,3d,physics,Game Developer
c sharp,dotnet,asp net,entity framework,sql server,.NET Developer
php,laravel,mysql,rest api,composer,PHP Developer
wordpress,php,elementor,woocommerce,seo,WordPress Developer
r,ggplot2,statistics,data analysis,visualization,R Developer
matlab,simulink,signal processing,control systems,MATLAB Engineer
embedded systems,c,microcontroller,arduino,rtos,Embedded Engineer
robotics,ros,python,slam,sensors,kinematics,Robotics Engineer
quantum computing,qiskit,quantum algorithms,python,linear algebra,Quantum Engineer
ar vr,unity,unreal,c sharp,3d modeling,AR/VR Developer
technical writing,documentation,api docs,markdown,communication,Technical Writer
scrum,agile,jira,product roadmap,stakeholder management,Project Manager
seo,google analytics,content marketing,social media,digital marketing,Digital Marketer
python,machine learning,tensorflow,neural networks,deep learning,AI Engineer
javascript,nodejs,express,mongodb,rest api,Backend Developer
react,html,css,javascript,responsive,Frontend Developer
sql,data analysis,excel,reporting,visualization,Data Analyst
aws,docker,linux,automation,cloud,DevOps Engineer
android,kotlin,mobile,firebase,ui,Android Developer
ios,swift,mobile,xcode,ui,iOS Developer
figma,design,prototyping,ui,ux,UI/UX Designer
python,pandas,statistics,analysis,jupyter,Data Scientist
nlp,python,text,classification,machine learning,NLP Engineer
blockchain,solidity,web3,ethereum,contracts,Blockchain Developer
